link_id,init_node,term_node,travel_time,electricity_consumption
254,83,66,1.567567568,0.19215281
255,83,82,1.94047619,0.144331888
256,84,85,2.283549784,0.229611377
257,84,66,3.062042683,0.346694418
258,84,83,1.166666667,0.07
259,85,86,2.260784314,0.277576903
260,85,67,2.215083799,0.218083884
261,85,84,2.283549784,0.229611377
262,86,87,2.069444444,0.19829991
263,86,91,1.573182247,0.214424179
264,86,130,1.878787879,0.186900216
265,86,85,2.260784314,0.277576903
266,87,88,1.833333333,0.275317687
267,87,86,2.069444444,0.19829991
268,88,89,4.30960961,0.428599846
269,88,90,1.966666667,0.228933622
270,88,68,2.259259259,0.218552189
271,88,87,1.833333333,0.275317687
272,89,70,1.857142857,0.185787907
273,89,88,4.30960961,0.428599846
274,90,91,2.615322581,0.253707422
275,90,88,1.966666667,0.228933622
276,91,92,2.80794347,0.283052058
277,91,131,2.905454545,0.21934907
278,91,86,1.573182247,0.214424179
279,91,90,2.615322581,0.253707422
280,92,93,2.459839357,0.230809995
281,92,134,2.333333333,0.215384615
282,92,137,2.612694878,0.373063837
283,92,91,2.80794347,0.283052058
284,93,94,4.386613272,0.445217682
285,93,138,3.666,0.230540447
286,93,75,4.655395683,0.337825091
287,93,92,2.459839357,0.230809995
288,94,95,2.228241684,0.340843215
289,94,136,2.477586207,0.227724566
290,94,139,1.782777778,0.214561868
291,94,93,4.386613272,0.445217682
292,95,96,1.950357143,0.23935128
293,95,36,2.146078431,0.211710645
294,95,75,3.612140575,0.319017258
295,95,94,2.228241684,0.340843215
296,96,97,2.136111111,0.20091736
297,96,95,1.950357143,0.23935128
298,97,98,1.851785714,0.19196097
299,97,96,2.136111111,0.20091736
300,98,99,2.123611111,0.195955179
301,98,141,2.629800995,0.28193316
302,98,142,2.013659148,0.212175391
303,98,146,4.095874126,0.274560333
304,98,97,1.851785714,0.19196097
305,99,100,1.6875,0.200103895
306,99,36,2.90818399,0.30429678
307,99,98,2.123611111,0.195955179
308,100,101,2.548022599,0.308084976
309,100,99,1.6875,0.200103895
310,101,102,1.95,0.250452353
311,101,39,3.598255814,0.390281858
312,101,100,2.548022599,0.308084976
313,102,103,2.648333333,0.282664477
314,102,147,3.055555556,0.256872223
315,102,101,1.95,0.250452353
316,103,104,1.770833333,0.255104823
317,103,105,2.166666667,0.28867516
318,103,147,3.682291667,0.418763361
319,103,102,2.648333333,0.282664477
320,104,105,3.727642276,0.560559632
321,104,103,1.770833333,0.255104823
322,105,106,2.679569892,0.343203928
323,105,103,2.166666667,0.28867516
324,105,104,3.727642276,0.560559632
325,106,107,1.845679012,0.271692047
326,106,105,2.679569892,0.343203928
327,107,108,4.229166667,0.169566108
328,107,41,1.388888889,0.197656272
329,107,43,1.77745098,0.449741616
330,107,106,1.845679012,0.271692047
331,108,150,2.735,0.237125582
332,108,44,3.044217687,0.260095488
333,108,107,4.229166667,0.169566108
334,110,111,2.827066667,0.353107291
335,110,46,4.355610561,0.410200503
336,111,112,3.194977169,0.507391075
337,111,163,2.72283105,0.370371839
338,111,110,2.827066667,0.353107291
339,112,113,2.5,0.443458344
340,112,164,3.427632344,0.430210944
341,112,46,4.451815182,0.429372853
342,112,111,3.194977169,0.507391075
343,113,114,3.429119497,0.701054478
344,113,53,4.888797814,0.539896469
345,113,112,2.5,0.443458344
346,114,115,4.525372368,0.589400896
347,114,47,1.416666667,0.689285714
348,114,49,2.636868687,0.333037648
349,114,50,3.199049881,0.519660138
350,114,113,3.429119497,0.701054478
351,115,116,2.01344086,0.251099741
352,115,54,5.729291417,0.690646644
353,115,114,4.525372368,0.589400896
354,116,117,3.529219144,0.543070977
355,116,118,2.475597484,0.399271869
356,116,165,1.669642857,0.21767165
357,116,115,2.01344086,0.251099741
358,117,55,2.161437908,0.23907836
359,117,116,3.529219144,0.543070977
360,118,119,2.949522569,0.390710899
361,118,166,2.421333333,0.258715724
362,118,169,2.268032787,0.256177333
363,118,116,2.475597484,0.399271869
364,119,120,4.104774775,0.493719195
365,119,56,3.346995708,0.367563015
366,119,118,2.949522569,0.390710899
367,120,121,1.934210526,0.219168693
368,120,57,2.846578366,0.325712668
369,120,119,4.104774775,0.493719195
370,121,122,1.869159741,0.342236405
371,121,120,1.934210526,0.219168693
372,122,123,7.423409733,0.82331947
373,122,171,2.557529611,0.220227197
374,122,169,4.824524198,0.437266931
375,122,121,1.869159741,0.342236405
376,123,124,1.987179487,0.16318648
377,123,77,1.555555556,0.120807761
378,123,122,7.423409733,0.82331947
379,124,125,1.855072464,0.260368919
380,124,123,1.987179487,0.16318648
381,125,58,4.671510417,0.498834689
382,125,76,1.957496361,0.208192532
383,125,124,1.855072464,0.260368919
384,126,127,2.690683761,0.236029248
385,126,171,6.075157413,0.558639559
386,126,77,3.278413284,0.346974538
387,126,79,2.067901235,0.198512756
388,127,128,1.745098039,0.16836644
389,127,126,2.690683761,0.236029248
390,128,129,3.432580321,0.309723195
391,128,174,7.80046495,0.820505891
392,128,81,3.311346863,0.324103794
393,128,127,1.745098039,0.16836644
394,129,130,2.457534247,0.245988215
395,129,131,2.280272109,0.24440351
396,129,83,2.805084746,0.271331027
397,129,128,3.432580321,0.309723195
398,130,86,1.878787879,0.186900216
399,130,129,2.457534247,0.245988215
400,131,132,2.937480799,0.295535191
401,131,91,2.905454545,0.21934907
402,131,129,2.280272109,0.24440351
403,132,133,2.258873457,0.229634115
404,132,131,2.937480799,0.295535191
405,133,134,1.791666667,0.183381102
406,133,135,2.864277959,0.273753528
407,133,132,2.258873457,0.229634115
408,134,92,2.333333333,0.215384615
409,134,133,1.791666667,0.183381102
410,135,136,1.751485788,0.192299729
411,135,174,2.911155273,0.290668468
412,135,176,2.194444444,0.238201611
413,135,133,2.864277959,0.273753528
414,136,137,2.060275689,0.209290258
415,136,139,4.372850877,0.419571905
416,136,94,2.477586207,0.227724566
417,136,135,1.751485788,0.192299729
418,137,138,3.108333333,0.235492033
419,137,92,2.612694878,0.373063837
420,137,136,2.060275689,0.209290258
421,138,93,3.666,0.230540447
422,138,137,3.108333333,0.235492033
423,139,140,2.050970874,0.244246596
424,139,94,1.782777778,0.214561868
425,139,136,4.372850877,0.419571905
426,140,141,2.397727273,0.266291515
427,140,139,2.050970874,0.244246596
428,141,142,2.524305556,0.264681825
429,141,98,2.629800995,0.28193316
430,141,140,2.397727273,0.266291515
431,142,143,1.808457711,0.201318689
432,142,180,2.025252525,0.21447428
433,142,98,2.013659148,0.212175391
434,142,141,2.524305556,0.264681825
435,143,144,1.771929825,0.193812873
436,143,142,1.808457711,0.201318689
437,144,145,1.944444444,0.171921794
438,144,143,1.771929825,0.193812873
439,145,146,3.627371892,0.370675528
440,145,148,1.966666667,0.21839418
441,145,184,2.517432273,0.302033164
442,145,144,1.944444444,0.171921794
443,146,147,3.621162281,0.274755091
444,146,148,3.505957447,0.337890063
445,146,98,4.095874126,0.274560333
446,146,145,3.627371892,0.370675528
447,147,102,3.055555556,0.256872223
448,147,103,3.682291667,0.418763361
449,147,146,3.621162281,0.274755091
450,148,149,4.628551136,0.382130724
451,148,188,3.037091503,0.245316083
452,148,145,1.966666667,0.21839418
453,148,146,3.505957447,0.337890063
454,149,150,3.541666667,0.317019707
455,149,148,4.628551136,0.382130724
456,150,151,2.204166667,0.287663209
457,150,188,3.986567164,0.421089328
458,150,108,2.735,0.237125582
459,150,149,3.541666667,0.317019707
460,151,152,4.85986733,0.461993405
461,151,150,2.204166667,0.287663209
462,152,153,2.240566038,0.183098982
463,152,188,3.736770245,0.377346919
464,152,151,4.85986733,0.461993405
465,153,154,1.574712644,0.182458499
466,153,152,2.240566038,0.183098982
467,154,155,1.818181818,0.172691291
468,154,187,3.297624611,0.393877672
469,154,153,1.574712644,0.182458499
470,155,156,1.911111111,0.183650526
471,155,154,1.818181818,0.172691291
472,156,157,4.66156406,0.54250498
473,156,155,1.911111111,0.183650526
474,157,158,1.291666667,0.104476575
475,157,175,2.293103448,0.219198939
476,157,156,4.66156406,0.54250498
477,158,157,1.291666667,0.104476575
478,159,160,2.202702703,0.216119305
479,159,168,3.422134786,0.41140476
480,159,174,4.464779026,0.457618428
481,160,161,3.289701105,0.326154374
482,160,159,2.202702703,0.216119305
483,161,162,2.484146341,0.21804691
484,161,164,4.585711926,0.474136518
485,161,167,4.144651601,0.414447869
486,161,160,3.289701105,0.326154374
487,162,163,2.968518519,0.310791022
488,162,161,2.484146341,0.21804691
489,163,111,2.72283105,0.370371839
490,163,162,2.968518519,0.310791022
491,164,165,2.457806513,0.335599387
492,164,112,3.427632344,0.430210944
493,164,161,4.585711926,0.474136518
494,165,166,2.212121212,0.194482543
495,165,116,1.669642857,0.21767165
496,165,164,2.457806513,0.335599387
497,166,167,1.710672515,0.179434078
498,166,118,2.421333333,0.258715724
499,166,165,2.212121212,0.194482543
500,167,161,4.144651601,0.414447869
501,167,166,1.710672515,0.179434078
502,168,169,1.5625,0.208896279
503,168,159,3.422134786,0.41140476
504,169,170,2.166666667,0.224713317
505,169,118,2.268032787,0.256177333
506,169,122,4.824524198,0.437266931
507,169,168,1.5625,0.208896279
508,170,171,4.124533001,0.430384654
509,170,169,2.166666667,0.224713317
510,171,172,1.516137566,0.139606691
511,171,122,2.557529611,0.220227197
512,171,126,6.075157413,0.558639559
513,171,170,4.124533001,0.430384654
514,172,173,1.864657738,0.225106993
515,172,171,1.516137566,0.139606691
516,173,174,2.121742809,0.205120727
517,173,172,1.864657738,0.225106993
518,174,128,7.80046495,0.820505891
519,174,135,2.911155273,0.290668468
520,174,159,4.464779026,0.457618428
521,174,173,2.121742809,0.205120727
522,175,176,2.583030303,0.26135149
523,175,177,1.513888889,0.130620324
524,175,187,3.74799435,0.377616156
525,175,157,2.293103448,0.219198939
526,176,135,2.194444444,0.238201611
527,176,175,2.583030303,0.26135149
528,177,178,4.106403013,0.468074565
529,177,175,1.513888889,0.130620324
530,178,179,1.5,0.162664788
531,178,183,2.330676329,0.284527836
532,178,177,4.106403013,0.468074565
533,179,180,1.666666667,0.27027027
534,179,178,1.5,0.162664788
535,180,181,2.024747475,0.231695248
536,180,182,1.727272727,0.243367891
537,180,142,2.025252525,0.21447428
538,180,179,1.666666667,0.27027027
539,181,180,2.024747475,0.231695248
540,182,183,2.5,0.182926829
